obs_date,year,month,industry,job_openings_rate,hires_rate
2000-12-01,2000,12,Information,4.2,3.0
2001-01-01,2001,1,Information,4.3,4.6
2001-02-01,2001,2,Information,3.8,3.6
2001-03-01,2001,3,Information,3.4,3.0
2001-04-01,2001,4,Information,4.4,3.4
2001-05-01,2001,5,Information,2.9,3.1
2001-06-01,2001,6,Information,3.0,3.1
2001-07-01,2001,7,Information,3.1,3.3
2001-08-01,2001,8,Information,3.2,3.2
2001-09-01,2001,9,Information,1.8,2.9
2001-10-01,2001,10,Information,2.0,2.9
2001-11-01,2001,11,Information,2.5,3.2
2001-12-01,2001,12,Information,2.8,3.0
2002-01-01,2002,1,Information,2.6,3.0
2002-02-01,2002,2,Information,2.8,2.6
2002-03-01,2002,3,Information,2.6,2.8
2002-04-01,2002,4,Information,2.7,2.7
2002-05-01,2002,5,Information,3.1,2.4
2002-06-01,2002,6,Information,2.0,2.7
2002-07-01,2002,7,Information,2.7,2.5
2002-08-01,2002,8,Information,2.4,2.6
2002-09-01,2002,9,Information,2.0,2.5
2002-10-01,2002,10,Information,2.1,2.8
2002-11-01,2002,11,Information,2.6,2.7
2002-12-01,2002,12,Information,1.8,2.4
2003-01-01,2003,1,Information,2.4,2.8
2003-02-01,2003,2,Information,2.2,2.6
2003-03-01,2003,3,Information,2.5,2.7
2003-04-01,2003,4,Information,1.7,2.0
2003-05-01,2003,5,Information,1.8,3.0
2003-06-01,2003,6,Information,2.2,2.7
2003-07-01,2003,7,Information,1.9,2.7
2003-08-01,2003,8,Information,2.0,2.5
2003-09-01,2003,9,Information,2.9,2.7
2003-10-01,2003,10,Information,2.8,2.7
2003-11-01,2003,11,Information,2.0,2.4
2003-12-01,2003,12,Information,2.6,2.9
2004-01-01,2004,1,Information,2.4,2.3
2004-02-01,2004,2,Information,2.7,3.0
2004-03-01,2004,3,Information,2.5,2.6
2004-04-01,2004,4,Information,2.6,2.6
2004-05-01,2004,5,Information,3.1,2.5
2004-06-01,2004,6,Information,2.7,3.2
2004-07-01,2004,7,Information,3.0,2.0
2004-08-01,2004,8,Information,2.7,2.4
2004-09-01,2004,9,Information,2.8,2.5
2004-10-01,2004,10,Information,3.1,2.4
2004-11-01,2004,11,Information,2.0,2.2
2004-12-01,2004,12,Information,3.1,2.3
2005-01-01,2005,1,Information,2.8,2.5
2005-02-01,2005,2,Information,2.4,2.1
2005-03-01,2005,3,Information,2.8,3.0
2005-04-01,2005,4,Information,3.3,2.8
2005-05-01,2005,5,Information,2.4,2.7
2005-06-01,2005,6,Information,3.4,2.5
2005-07-01,2005,7,Information,3.1,3.0
2005-08-01,2005,8,Information,3.5,3.2
2005-09-01,2005,9,Information,3.9,3.4
2005-10-01,2005,10,Information,3.3,2.5
2005-11-01,2005,11,Information,3.6,3.4
2005-12-01,2005,12,Information,3.4,3.1
2006-01-01,2006,1,Information,3.9,2.8
2006-02-01,2006,2,Information,3.9,3.6
2006-03-01,2006,3,Information,3.9,3.1
2006-04-01,2006,4,Information,4.6,2.9
2006-05-01,2006,5,Information,4.3,3.3
2006-06-01,2006,6,Information,4.1,3.1
2006-07-01,2006,7,Information,4.6,3.3
2006-08-01,2006,8,Information,5.1,3.0
2006-09-01,2006,9,Information,4.9,2.8
2006-10-01,2006,10,Information,4.7,2.9
2006-11-01,2006,11,Information,5.2,3.2
2006-12-01,2006,12,Information,5.2,2.9
2007-01-01,2007,1,Information,4.7,3.2
2007-02-01,2007,2,Information,5.7,3.0
2007-03-01,2007,3,Information,5.4,2.6
2007-04-01,2007,4,Information,4.9,3.0
2007-05-01,2007,5,Information,5.7,3.0
2007-06-01,2007,6,Information,5.3,2.8
2007-07-01,2007,7,Information,4.8,2.8
2007-08-01,2007,8,Information,4.1,2.9
2007-09-01,2007,9,Information,3.7,2.6
2007-10-01,2007,10,Information,3.3,2.3
2007-11-01,2007,11,Information,4.0,2.0
2007-12-01,2007,12,Information,3.5,2.2
2008-01-01,2008,1,Information,2.3,2.7
2008-02-01,2008,2,Information,2.2,2.2
2008-03-01,2008,3,Information,2.8,2.3
2008-04-01,2008,4,Information,2.8,2.2
2008-05-01,2008,5,Information,2.5,2.0
2008-06-01,2008,6,Information,3.0,2.3
2008-07-01,2008,7,Information,2.2,1.6
2008-08-01,2008,8,Information,2.5,1.6
2008-09-01,2008,9,Information,2.0,2.2
2008-10-01,2008,10,Information,2.3,2.7
2008-11-01,2008,11,Information,2.1,2.0
2008-12-01,2008,12,Information,1.9,2.1
2009-01-01,2009,1,Information,2.3,2.1
2009-02-01,2009,2,Information,2.3,2.1
2009-03-01,2009,3,Information,1.6,2.2
2009-04-01,2009,4,Information,1.2,1.9
2009-05-01,2009,5,Information,1.3,2.1
2009-06-01,2009,6,Information,1.6,2.2
2009-07-01,2009,7,Information,1.4,2.5
2009-08-01,2009,8,Information,1.3,2.0
2009-09-01,2009,9,Information,2.0,2.1
2009-10-01,2009,10,Information,2.4,2.5
2009-11-01,2009,11,Information,1.3,2.4
2009-12-01,2009,12,Information,2.0,2.4
2010-01-01,2010,1,Information,3.0,2.3
2010-02-01,2010,2,Information,2.7,2.0
2010-03-01,2010,3,Information,1.9,2.0
2010-04-01,2010,4,Information,2.6,1.8
2010-05-01,2010,5,Information,2.9,1.8
2010-06-01,2010,6,Information,2.1,1.9
2010-07-01,2010,7,Information,3.5,2.0
2010-08-01,2010,8,Information,3.0,2.1
2010-09-01,2010,9,Information,2.3,2.3
2010-10-01,2010,10,Information,2.2,2.4
2010-11-01,2010,11,Information,2.7,2.5
2010-12-01,2010,12,Information,2.9,2.4
2011-01-01,2011,1,Information,3.1,2.3
2011-02-01,2011,2,Information,2.5,2.0
2011-03-01,2011,3,Information,3.9,2.2
2011-04-01,2011,4,Information,3.4,2.7
2011-05-01,2011,5,Information,3.8,2.4
2011-06-01,2011,6,Information,3.4,2.6
2011-07-01,2011,7,Information,3.8,1.7
2011-08-01,2011,8,Information,3.8,2.7
2011-09-01,2011,9,Information,4.2,2.3
2011-10-01,2011,10,Information,4.1,2.1
2011-11-01,2011,11,Information,3.4,2.3
2011-12-01,2011,12,Information,4.0,2.6
2012-01-01,2012,1,Information,3.2,2.0
2012-02-01,2012,2,Information,3.4,2.7
2012-03-01,2012,3,Information,3.6,2.5
2012-04-01,2012,4,Information,3.7,2.5
2012-05-01,2012,5,Information,3.0,2.7
2012-06-01,2012,6,Information,3.8,2.1
2012-07-01,2012,7,Information,2.7,1.9
2012-08-01,2012,8,Information,3.3,3.1
2012-09-01,2012,9,Information,3.4,2.2
2012-10-01,2012,10,Information,3.1,2.4
2012-11-01,2012,11,Information,3.7,2.7
2012-12-01,2012,12,Information,3.1,2.5
2013-01-01,2013,1,Information,2.8,2.3
2013-02-01,2013,2,Information,3.8,3.1
2013-03-01,2013,3,Information,3.5,1.9
2013-04-01,2013,4,Information,2.4,2.6
2013-05-01,2013,5,Information,3.6,3.0
2013-06-01,2013,6,Information,3.7,3.3
2013-07-01,2013,7,Information,3.7,3.3
2013-08-01,2013,8,Information,2.6,3.1
2013-09-01,2013,9,Information,3.6,3.5
2013-10-01,2013,10,Information,4.4,3.0
2013-11-01,2013,11,Information,4.0,2.9
2013-12-01,2013,12,Information,4.0,3.1
2014-01-01,2014,1,Information,3.9,3.3
2014-02-01,2014,2,Information,3.8,3.0
2014-03-01,2014,3,Information,3.7,3.3
2014-04-01,2014,4,Information,4.0,2.9
2014-05-01,2014,5,Information,4.0,2.7
2014-06-01,2014,6,Information,3.6,2.9
2014-07-01,2014,7,Information,4.0,3.3
2014-08-01,2014,8,Information,3.9,2.8
2014-09-01,2014,9,Information,3.6,2.7
2014-10-01,2014,10,Information,3.0,3.0
2014-11-01,2014,11,Information,4.4,3.9
2014-12-01,2014,12,Information,3.8,2.9
2015-01-01,2015,1,Information,3.9,2.9
2015-02-01,2015,2,Information,4.5,2.8
2015-03-01,2015,3,Information,3.9,3.0
2015-04-01,2015,4,Information,3.8,3.1
2015-05-01,2015,5,Information,3.8,3.2
2015-06-01,2015,6,Information,3.9,2.9
2015-07-01,2015,7,Information,4.3,3.0
2015-08-01,2015,8,Information,4.0,3.0
2015-09-01,2015,9,Information,4.0,3.0
2015-10-01,2015,10,Information,3.9,3.2
2015-11-01,2015,11,Information,2.5,2.8
2015-12-01,2015,12,Information,3.9,2.7
2016-01-01,2016,1,Information,3.9,3.2
2016-02-01,2016,2,Information,3.3,3.1
2016-03-01,2016,3,Information,3.1,2.7
2016-04-01,2016,4,Information,2.9,3.3
2016-05-01,2016,5,Information,3.9,2.6
2016-06-01,2016,6,Information,3.1,3.0
2016-07-01,2016,7,Information,2.8,2.8
2016-08-01,2016,8,Information,2.7,2.8
2016-09-01,2016,9,Information,3.5,2.9
2016-10-01,2016,10,Information,2.9,2.8
2016-11-01,2016,11,Information,2.8,3.0
2016-12-01,2016,12,Information,2.8,2.9
2017-01-01,2017,1,Information,3.0,3.1
2017-02-01,2017,2,Information,2.4,2.9
2017-03-01,2017,3,Information,3.0,2.7
2017-04-01,2017,4,Information,3.5,2.4
2017-05-01,2017,5,Information,3.8,2.8
2017-06-01,2017,6,Information,3.8,2.8
2017-07-01,2017,7,Information,3.4,3.0
2017-08-01,2017,8,Information,4.1,3.2
2017-09-01,2017,9,Information,3.6,3.4
2017-10-01,2017,10,Information,3.1,3.2
2017-11-01,2017,11,Information,3.3,3.1
2017-12-01,2017,12,Information,4.3,3.4
2018-01-01,2018,1,Information,4.3,3.3
2018-02-01,2018,2,Information,4.4,3.3
2018-03-01,2018,3,Information,4.4,3.3
2018-04-01,2018,4,Information,5.9,3.3
2018-05-01,2018,5,Information,4.3,3.4
2018-06-01,2018,6,Information,4.5,3.1
2018-07-01,2018,7,Information,5.0,3.0
2018-08-01,2018,8,Information,4.9,3.1
2018-09-01,2018,9,Information,4.1,3.1
2018-10-01,2018,10,Information,4.8,3.0
2018-11-01,2018,11,Information,4.5,3.5
2018-12-01,2018,12,Information,4.3,2.9
2019-01-01,2019,1,Information,4.8,3.2
2019-02-01,2019,2,Information,4.6,3.2
2019-03-01,2019,3,Information,5.1,3.4
2019-04-01,2019,4,Information,3.8,3.3
2019-05-01,2019,5,Information,4.3,3.5
2019-06-01,2019,6,Information,4.3,3.3
2019-07-01,2019,7,Information,5.0,3.4
2019-08-01,2019,8,Information,4.3,3.2
2019-09-01,2019,9,Information,5.8,3.3
2019-10-01,2019,10,Information,4.9,3.4
2019-11-01,2019,11,Information,4.7,3.2
2019-12-01,2019,12,Information,4.6,3.3
2020-01-01,2020,1,Information,4.3,2.9
2020-02-01,2020,2,Information,4.5,3.3
2020-03-01,2020,3,Information,4.0,2.5
2020-04-01,2020,4,Information,4.3,1.5
2020-05-01,2020,5,Information,3.4,2.6
2020-06-01,2020,6,Information,3.9,2.1
2020-07-01,2020,7,Information,2.9,3.2
2020-08-01,2020,8,Information,3.2,3.4
2020-09-01,2020,9,Information,3.9,3.6
2020-10-01,2020,10,Information,4.5,4.6
2020-11-01,2020,11,Information,3.9,3.3
2020-12-01,2020,12,Information,4.3,3.1
2021-01-01,2021,1,Information,5.8,3.6
2021-02-01,2021,2,Information,3.8,3.3
2021-03-01,2021,3,Information,3.7,3.7
2021-04-01,2021,4,Information,4.4,4.3
2021-05-01,2021,5,Information,5.1,3.6
2021-06-01,2021,6,Information,5.5,3.8
2021-07-01,2021,7,Information,7.0,4.3
2021-08-01,2021,8,Information,6.9,4.0
2021-09-01,2021,9,Information,6.5,4.2
2021-10-01,2021,10,Information,6.6,4.8
2021-11-01,2021,11,Information,6.8,3.7
2021-12-01,2021,12,Information,7.7,3.7
2022-01-01,2022,1,Information,7.4,4.5
2022-02-01,2022,2,Information,7.5,2.6
2022-03-01,2022,3,Information,8.0,3.6
2022-04-01,2022,4,Information,8.3,3.6
2022-05-01,2022,5,Information,7.5,3.6
2022-06-01,2022,6,Information,7.6,3.9
2022-07-01,2022,7,Information,6.9,3.3
2022-08-01,2022,8,Information,6.3,3.7
2022-09-01,2022,9,Information,6.5,3.1
2022-10-01,2022,10,Information,6.5,3.4
2022-11-01,2022,11,Information,6.7,3.5
2022-12-01,2022,12,Information,2.5,2.8
2023-01-01,2023,1,Information,3.2,2.3
2023-02-01,2023,2,Information,4.5,2.7
2023-03-01,2023,3,Information,4.5,3.4
2023-04-01,2023,4,Information,4.6,2.6
2023-05-01,2023,5,Information,5.2,2.1
2023-06-01,2023,6,Information,4.9,2.4
2023-07-01,2023,7,Information,4.7,2.5
2023-08-01,2023,8,Information,4.9,2.1
2023-09-01,2023,9,Information,3.1,2.4
2023-10-01,2023,10,Information,3.3,1.6
2023-11-01,2023,11,Information,4.8,2.4
2023-12-01,2023,12,Information,4.5,2.6
2024-01-01,2024,1,Information,5.1,2.5
2024-02-01,2024,2,Information,4.2,2.8
2024-03-01,2024,3,Information,4.7,2.7
2024-04-01,2024,4,Information,2.9,2.4
2024-05-01,2024,5,Information,3.9,2.7
2024-06-01,2024,6,Information,3.6,2.4
2024-07-01,2024,7,Information,3.5,2.5
2024-08-01,2024,8,Information,3.5,2.7
2024-09-01,2024,9,Information,3.8,2.7
2024-10-01,2024,10,Information,5.8,2.3
2024-11-01,2024,11,Information,4.0,2.5
2024-12-01,2024,12,Information,3.5,2.7
2025-01-01,2025,1,Information,3.4,2.2
2025-02-01,2025,2,Information,4.2,2.6
2025-03-01,2025,3,Information,3.9,2.7
2025-04-01,2025,4,Information,4.5,2.9
2025-05-01,2025,5,Information,3.7,2.7
2025-06-01,2025,6,Information,4.1,2.9
2025-07-01,2025,7,Information,5.2,2.4
2025-08-01,2025,8,Information,4.7,2.4
2025-09-01,2025,9,Information,4.0,2.5
2025-10-01,2025,10,Information,3.9,2.5
2025-11-01,2025,11,Information,3.0,2.7
2025-12-01,2025,12,Information,3.8,3.1
2026-01-01,2026,1,Information,3.4,3.2
2026-02-01,2026,2,Information,3.1,3.1
2000-12-01,2000,12,Total Nonfarm,3.7,4.1
2001-01-01,2001,1,Total Nonfarm,3.8,4.3
2001-02-01,2001,2,Total Nonfarm,3.7,4.0
2001-03-01,2001,3,Total Nonfarm,3.5,4.2
2001-04-01,2001,4,Total Nonfarm,3.4,3.9
2001-05-01,2001,5,Total Nonfarm,3.2,4.1
